time,learning_rate,step,loss,accuracy
27.35571026802063,0.001,1,3.6545403,0.07
34.41916012763977,0.001,2,3.3599885,0.08
41.514222383499146,0.001,3,3.2555923,0.08
48.62887644767761,0.001,4,3.1737058,0.08
55.59511661529541,0.001,5,2.9018023,0.07
62.71508431434631,0.001,6,2.8317735,0.08
69.85134601593018,0.001,7,2.7268314,0.1
77.05120706558228,0.001,8,2.656606,0.12
84.20502018928528,0.001,9,2.6425614,0.11
91.35464286804199,0.001,10,2.6127572,0.15
98.49211072921753,0.001,11,2.5830798,0.15
105.67055916786194,0.001,12,2.4535952,0.15
112.83709669113159,0.001,13,2.5098543,0.18
119.97091555595398,0.001,14,2.4318573,0.17
127.05371975898743,0.001,15,2.448704,0.19
134.15197324752808,0.001,16,2.4320114,0.18
141.282940864563,0.001,17,2.4661088,0.17
148.51122546195984,0.001,18,2.4323125,0.19
155.64784860610962,0.001,19,2.4047642,0.19
162.79182720184326,0.001,20,2.3573158,0.18
169.99408435821533,0.001,21,2.3836896,0.16
177.07681560516357,0.001,22,2.3970292,0.16
184.2175633907318,0.001,23,2.3451939,0.14
191.2661097049713,0.001,24,2.3461862,0.15
199.13178253173828,0.001,25,2.3315449,0.15
206.20347380638123,0.001,26,2.3636277,0.16
213.35539317131042,0.001,27,2.3515656,0.17
220.51512503623962,0.001,28,2.3317332,0.17
242.8325231075287,0.001,29,2.3192286,0.15
249.95342659950256,0.001,30,2.3121789,0.15
257.0764636993408,0.001,31,2.3326554,0.15
264.12370562553406,0.001,32,2.3195884,0.18
271.2491662502289,0.001,33,2.3213382,0.18
278.3198096752167,0.001,34,2.2775805,0.15
285.510546207428,0.001,35,2.325917,0.18
292.61806654930115,0.001,36,2.2949982,0.22
299.98472452163696,0.001,37,2.2912543,0.25
307.0333068370819,0.001,38,2.2941618,0.19
314.197425365448,0.001,39,2.309978,0.18
321.2890374660492,0.001,40,2.2993853,0.18
328.4272532463074,0.001,41,2.2648544,0.2
335.5471034049988,0.001,42,2.279573,0.16
342.64972591400146,0.001,43,2.2939088,0.21
349.74929022789,0.001,44,2.254819,0.15
356.7983911037445,0.001,45,2.2714925,0.18
363.79521775245667,0.001,46,2.2664182,0.17
370.8471908569336,0.001,47,2.2530754,0.19
377.98863101005554,0.001,48,2.2695682,0.22
385.221066236496,0.001,49,2.2771823,0.21
392.43411803245544,0.001,50,2.248176,0.18
399.6155915260315,0.001,51,2.2940695,0.23
406.7203063964844,0.001,52,2.2809925,0.28
413.9224669933319,0.001,53,2.274053,0.19
421.0579631328583,0.001,54,2.263853,0.22
428.19565749168396,0.001,55,2.2716475,0.21
435.30483388900757,0.001,56,2.2595265,0.23
462.6241264343262,0.001,57,2.2500775,0.23
469.75660014152527,0.001,58,2.2654061,0.22
476.9477035999298,0.001,59,2.24707,0.22
484.0374131202698,0.001,60,2.2689888,0.18
491.18826031684875,0.001,61,2.2568195,0.17
498.39450335502625,0.001,62,2.2593856,0.17
505.67528223991394,0.001,63,2.2853103,0.21
512.746059179306,0.001,64,2.2964776,0.21
519.920975446701,0.001,65,2.245385,0.16
526.9078829288483,0.001,66,2.2764096,0.2
534.1731836795807,0.001,67,2.3073142,0.1
541.2873592376709,0.001,68,2.273883,0.23
548.3849577903748,0.001,69,2.2371957,0.19
555.5553448200226,0.001,70,2.2835374,0.16
562.6893427371979,0.001,71,2.2943106,0.1
569.7504529953003,0.001,72,2.3189828,0.12
576.8835744857788,0.001,73,2.2618258,0.21
584.2086815834045,0.001,74,2.2276747,0.24
591.2294988632202,0.001,75,2.2340434,0.16
598.3065333366394,0.001,76,2.242911,0.14
605.3337879180908,0.001,77,2.334616,0.07
612.4518873691559,0.001,78,2.312971,0.12
619.6004631519318,0.001,79,2.292371,0.09
626.7318654060364,0.001,80,2.2554698,0.16
633.9429888725281,0.001,81,2.217206,0.11
641.1418087482452,0.001,82,2.2526631,0.1
648.2695922851562,0.001,83,2.3014364,0.08
655.3202583789825,0.001,84,2.3934245,0.09
673.7994613647461,0.001,85,2.3176022,0.2
681.0977036952972,0.001,86,2.269616,0.18
688.1698112487793,0.001,87,2.2358112,0.18
695.302102804184,0.001,88,2.220987,0.16
702.4869265556335,0.001,89,2.294325,0.12
709.6765332221985,0.001,90,2.317192,0.17
716.7921051979065,0.001,91,2.2806742,0.14
723.9827516078949,0.001,92,2.2391841,0.2
731.1095383167267,0.001,93,2.2174473,0.25
738.2776987552643,0.001,94,2.2184074,0.18
745.4533808231354,0.001,95,2.2676175,0.14
752.646256685257,0.001,96,2.6062381,0.16
759.7212665081024,0.001,97,2.2531266,0.14
766.8507297039032,0.001,98,2.235494,0.14
773.9440152645111,0.001,99,2.2075057,0.18
781.4659147262573,0.001,100,2.2658775,0.14
788.6170632839203,0.001,101,2.269509,0.19
795.7890019416809,0.001,102,2.2678697,0.15
802.9072706699371,0.001,103,2.2785223,0.16
810.1143040657043,0.001,104,2.278311,0.23
