time,loss,learning_rate,step,accuracy
11.543480634689331,3.5979595,0.001,1,0.06
22.3642795085907,3.1691415,0.001,2,0.08
34.06476354598999,3.077618,0.001,3,0.1
44.950042963027954,2.9053288,0.001,4,0.07
53.08219909667969,2.8317866,0.001,5,0.06
64.16026306152344,2.706581,0.001,6,0.07
75.1567587852478,2.6613789,0.001,7,0.09
85.86979746818542,2.628635,0.001,8,0.1
96.82693386077881,2.606059,0.001,9,0.1
107.87116050720215,2.6043148,0.001,10,0.11
120.25059747695923,2.4982743,0.001,11,0.12
129.32909488677979,2.4968839,0.001,12,0.11
137.42992281913757,2.4283319,0.001,13,0.11
148.25934171676636,2.5045164,0.001,14,0.1
156.24991369247437,2.4906683,0.001,15,0.09
168.10572338104248,2.4756656,0.001,16,0.1
179.31572270393372,2.382096,0.001,17,0.09
187.5650990009308,2.4030554,0.001,18,0.11
198.78186631202698,2.3842683,0.001,19,0.1
207.04522681236267,2.342269,0.001,20,0.11
218.9602153301239,2.3814576,0.001,21,0.11
229.47535228729248,2.3296192,0.001,22,0.11
239.9858205318451,2.3348167,0.001,23,0.12
248.32097506523132,2.3344526,0.001,24,0.15
259.65503430366516,2.3408833,0.001,25,0.18
267.9294443130493,2.3324149,0.001,26,0.16
278.64165902137756,2.3211749,0.001,27,0.17
289.5442900657654,2.3440533,0.001,28,0.18
300.4285321235657,2.3339612,0.001,29,0.15
308.32365703582764,2.3310068,0.001,30,0.2
319.37747955322266,2.3152,0.001,31,0.2
330.03709506988525,2.3011398,0.001,32,0.19
341.1923530101776,2.2855215,0.001,33,0.18
349.22813510894775,2.310174,0.001,34,0.21
360.5218708515167,2.2691557,0.001,35,0.19
371.31329464912415,2.311872,0.001,36,0.2
381.93841004371643,2.2733474,0.001,37,0.17
393.1203372478485,2.2880456,0.001,38,0.16
403.912136554718,2.3150666,0.001,39,0.14
415.1040229797363,2.2786598,0.001,40,0.13
423.1104805469513,2.3057802,0.001,41,0.14
446.8646216392517,2.2732358,0.001,42,0.2
454.7393591403961,2.2904081,0.001,43,0.17
466.3296420574188,2.286332,0.001,44,0.13
478.2620916366577,2.3045192,0.001,45,0.12
489.5024883747101,2.275455,0.001,46,0.1
500.38524055480957,2.279963,0.001,47,0.12
