time,step,rank,num_samples,compute_time_worker,compute_time_master
3.695487976074219e-05,1,1,286,6.3627424240112305,3.409385681152344e-05
4.6253204345703125e-05,1,2,264,6.54083251953125,4.3392181396484375e-05
4.887580871582031e-05,1,3,264,6.299335241317749,4.601478576660156e-05
5.078315734863281e-05,1,4,242,6.340209722518921,4.792213439941406e-05
5.555152893066406e-05,1,5,220,6.393970966339111,5.269050598144531e-05
5.888938903808594e-05,1,6,286,6.3534626960754395,5.602836608886719e-05
6.0558319091796875e-05,1,7,242,6.633781433105469,5.7697296142578125e-05
6.246566772460938e-05,1,8,198,6.641311883926392,5.9604644775390625e-05
6.437301635742188e-05,1,9,264,6.492486000061035,6.151199340820312e-05
6.67572021484375e-05,1,10,66,6.5897698402404785,6.389617919921875e-05
7.08414363861084,2,1,286,6.459926605224609,2.2172927856445312e-05
7.08415150642395,2,2,198,6.483053207397461,3.0040740966796875e-05
7.084153890609741,2,3,198,6.273075819015503,3.24249267578125e-05
7.084156274795532,2,4,286,6.457041025161743,3.4809112548828125e-05
7.084158182144165,2,5,220,6.406297206878662,3.6716461181640625e-05
7.084160327911377,2,6,286,6.339829921722412,3.886222839355469e-05
7.08416223526001,2,7,264,6.596279621124268,4.076957702636719e-05
7.084166526794434,2,8,264,6.2241456508636475,4.506111145019531e-05
7.0841686725616455,2,9,286,6.442560434341431,4.7206878662109375e-05
7.0841710567474365,2,10,198,6.424264669418335,4.9591064453125e-05
14.304285764694214,3,1,286,6.348631381988525,2.1696090698242188e-05
14.30429458618164,3,2,286,6.42203950881958,3.0517578125e-05
14.30429720878601,3,3,286,6.479101181030273,3.314018249511719e-05
14.304299592971802,3,4,44,6.2133142948150635,3.552436828613281e-05
14.304301738739014,3,5,286,6.327029466629028,3.7670135498046875e-05
14.304303646087646,3,6,286,6.3072803020477295,3.9577484130859375e-05
14.304307222366333,3,7,264,6.387254476547241,4.315376281738281e-05
14.304309368133545,3,8,286,6.564592599868774,4.5299530029296875e-05
14.304311275482178,3,9,198,6.257137775421143,4.7206878662109375e-05
14.304312705993652,3,10,264,6.444044589996338,4.863739013671875e-05
21.494964122772217,4,1,286,6.335394859313965,2.1457672119140625e-05
21.494972467422485,4,2,198,6.515861511230469,2.9802322387695312e-05
21.494974851608276,4,3,264,6.513711929321289,3.218650817871094e-05
21.49497699737549,4,4,286,6.643211603164673,3.4332275390625e-05
21.49497890472412,4,5,198,6.203460216522217,3.62396240234375e-05
21.494981050491333,4,6,286,6.32889723777771,3.838539123535156e-05
21.49498462677002,4,7,286,6.36260199546814,4.1961669921875e-05
